chunks,download,filename,filesize,generated,host,host_icon,id,link,mimeType,streamable
32,https://nyk5-4.download.real-debrid.com/d/QIYSEUR2MJPDS82/The%20Summer%20I%20Turned%20Pretty%20S03E01%20Last%20Season%202160p%20AMZN%20WEB-DL%20DDP5%201%20Atmos%20HDR%20H%20265-Kitsune.mkv,The Summer I Turned Pretty S03E01 Last Season 2160p AMZN WEB-DL DDP5 1 Atmos HDR H 265-Kitsune.mkv,6571196001,2025-07-30T06:50:52.000Z,real-debrid.com,https://fcdn.real-debrid.com/0831/images/hosters/realdebrid.png,QIYSEUR2MJPDS,https://real-debrid.com/d/XP2ZUCFWC3HGE45F,video/x-matroska,1
32,https://nyk5-4.download.real-debrid.com/d/TW3SYSDMO5BGE78/Hart%20of%20Dixie%20S02E12%20AMZN.1080p.5.1.HEVC.x265.10bit-Bearfish.mkv,Hart of Dixie S02E12 AMZN.1080p.5.1.HEVC.x265.10bit-Bearfish.mkv,1146653155,2025-07-30T06:17:53.000Z,real-debrid.com,https://fcdn.real-debrid.com/0831/images/hosters/realdebrid.png,TW3SYSDMO5BGE,https://real-debrid.com/d/HMGQZU2FIRYFAF2E,video/x-matroska,1
32,https://nyk5-4.download.real-debrid.com/d/UQFMWC2OYTPLS101/Hart%20of%20Dixie%20S02E11%20AMZN.1080p.5.1.HEVC.x265.10bit-Bearfish.mkv,Hart of Dixie S02E11 AMZN.1080p.5.1.HEVC.x265.10bit-Bearfish.mkv,1147810651,2025-07-30T05:35:10.000Z,real-debrid.com,https://fcdn.real-debrid.com/0831/images/hosters/realdebrid.png,UQFMWC2OYTPLS,https://real-debrid.com/d/TEBJ5DVWOHTTO563,video/x-matroska,1
32,https://nyk5-4.download.real-debrid.com/d/QBX44AGJPO2QU102/Hart%20of%20Dixie%20S02E10%20AMZN.1080p.5.1.HEVC.x265.10bit-Bearfish.mkv,Hart of Dixie S02E10 AMZN.1080p.5.1.HEVC.x265.10bit-Bearfish.mkv,1141475319,2025-07-30T05:24:21.000Z,real-debrid.com,https://fcdn.real-debrid.com/0831/images/hosters/realdebrid.png,QBX44AGJPO2QU,https://real-debrid.com/d/KU73BNFQMINZO637,video/x-matroska,1
32,https://nyk5-4.download.real-debrid.com/d/PB4AA4K4IJR4W88/Love.Island.US.S05E20.1080p.WEB.h264-EDITH%5Beztv.re%5D.mkv,Love.Island.US.S05E20.1080p.WEB.h264-EDITH[eztv.re].mkv,3269333573,2025-07-30T05:03:44.000Z,real-debrid.com,https://fcdn.real-debrid.com/0831/images/hosters/realdebrid.png,PB4AA4K4IJR4W,https://real-debrid.com/d/VXKXKPDSDTJ3QB6F,video/x-matroska,1
32,https://nyk5-4.download.real-debrid.com/d/EM3VHJIJ5F2XE43/Love.Island.US.S05E19.1080p.WEB.h264-EDITH.mkv,Love.Island.US.S05E19.1080p.WEB.h264-EDITH.mkv,2762887726,2025-07-30T04:32:57.000Z,real-debrid.com,https://fcdn.real-debrid.com/0831/images/hosters/realdebrid.png,EM3VHJIJ5F2XE,https://real-debrid.com/d/KUXN6RR7EREYU4B6,video/x-matroska,1
32,https://nyk5-4.download.real-debrid.com/d/KP4CZ4UN7IEZO40/MasterChef.Junior.S09E01.1080p.WEB.h264-BAE%5BEZTVx.to%5D.mkv,MasterChef.Junior.S09E01.1080p.WEB.h264-BAE[EZTVx.to].mkv,1635519633,2025-07-30T02:50:01.000Z,real-debrid.com,https://fcdn.real-debrid.com/0831/images/hosters/realdebrid.png,KP4CZ4UN7IEZO,https://real-debrid.com/d/BK5KNWOHIG6MK6FC,video/x-matroska,1
32,https://nyk5-4.download.real-debrid.com/d/S3T2XPBJWUDNG20/MasterChef.Junior.S08E01.1080p.HEVC.x265-MeGusta%5Beztv.re%5D.mkv,MasterChef.Junior.S08E01.1080p.HEVC.x265-MeGusta[eztv.re].mkv,887934223,2025-07-30T02:49:40.000Z,real-debrid.com,https://fcdn.real-debrid.com/0831/images/hosters/realdebrid.png,S3T2XPBJWUDNG,https://real-debrid.com/d/QTLXQTN6WNZE4749,video/x-matroska,1
32,https://nyk5-4.download.real-debrid.com/d/MDVQLBFUWPLPM81/The%20Traitors%20S02E10.mp4,The Traitors S02E10.mp4,2726012975,2025-07-30T02:38:28.000Z,real-debrid.com,https://fcdn.real-debrid.com/0831/images/hosters/realdebrid.png,MDVQLBFUWPLPM,https://real-debrid.com/d/SRWZJPWQDL4DGC44,video/mp4,1
32,https://nyk5-4.download.real-debrid.com/d/ACB34CTVMTIBY83/The%20Summer%20I%20Turned%20Pretty%20S03E01%20Last%20Season%202160p%20AMZN%20WEB-DL%20DDP5%201%20Atmos%20HDR%20H%20265-Kitsune.mkv,The Summer I Turned Pretty S03E01 Last Season 2160p AMZN WEB-DL DDP5 1 Atmos HDR H 265-Kitsune.mkv,6571196001,2025-07-30T02:37:21.000Z,real-debrid.com,https://fcdn.real-debrid.com/0831/images/hosters/realdebrid.png,ACB34CTVMTIBY,https://real-debrid.com/d/XP2ZUCFWC3HGE45F,video/x-matroska,1
32,https://nyk5-4.download.real-debrid.com/d/PXEV4E4LTLKF297/Love.Island.US.S05E18.1080p.WEB.h264-EDITH%5Beztv.re%5D.mkv,Love.Island.US.S05E18.1080p.WEB.h264-EDITH[eztv.re].mkv,2982345168,2025-07-30T02:02:16.000Z,real-debrid.com,https://fcdn.real-debrid.com/0831/images/hosters/realdebrid.png,PXEV4E4LTLKF2,https://real-debrid.com/d/HK4VFCO6QCZM4C93,video/x-matroska,1
32,https://nyk5-4.download.real-debrid.com/d/DCG263RVSYDAS80/Love.Island.US.S05E17.1080p.WEB.h264-EDITH%5Beztv.re%5D.mkv,Love.Island.US.S05E17.1080p.WEB.h264-EDITH[eztv.re].mkv,2512799468,2025-07-30T01:57:52.000Z,real-debrid.com,https://fcdn.real-debrid.com/0831/images/hosters/realdebrid.png,DCG263RVSYDAS,https://real-debrid.com/d/TVAIYVVL3UAXC6F2,video/x-matroska,1
32,https://nyk5-4.download.real-debrid.com/d/LVZW2TBEL76P675/Love.Island.US.S05E16.1080p.WEB.h264-EDITH%5Beztv.re%5D.mkv,Love.Island.US.S05E16.1080p.WEB.h264-EDITH[eztv.re].mkv,4066158251,2025-07-30T00:41:38.000Z,real-debrid.com,https://fcdn.real-debrid.com/0831/images/hosters/realdebrid.png,LVZW2TBEL76P6,https://real-debrid.com/d/WJKQNQIXQPM4S5DE,video/x-matroska,1
32,https://nyk5-4.download.real-debrid.com/d/M5KIUV63WXG7A44/Love.Island.US.S05E15.1080p.WEB.h264-EDITH%5Beztv.re%5D.mkv,Love.Island.US.S05E15.1080p.WEB.h264-EDITH[eztv.re].mkv,3342658374,2025-07-29T23:59:18.000Z,real-debrid.com,https://fcdn.real-debrid.com/0831/images/hosters/realdebrid.png,M5KIUV63WXG7A,https://real-debrid.com/d/6LXPPF47NKQ32F41,video/x-matroska,1
32,https://nyk5-4.download.real-debrid.com/d/BKF7UYZOMINSC104/The%20Traitors%20S02E10.mp4,The Traitors S02E10.mp4,2726012975,2025-07-29T09:55:56.000Z,real-debrid.com,https://fcdn.real-debrid.com/0831/images/hosters/realdebrid.png,BKF7UYZOMINSC,https://real-debrid.com/d/SRWZJPWQDL4DGC44,video/mp4,1
32,https://nyk5-4.download.real-debrid.com/d/WQTFATNW4XBMI92/The%20Traitors%20S02E09.mp4,The Traitors S02E09.mp4,2818475684,2025-07-29T09:08:38.000Z,real-debrid.com,https://fcdn.real-debrid.com/0831/images/hosters/realdebrid.png,WQTFATNW4XBMI,https://real-debrid.com/d/5DBAWKELL2S3U378,video/mp4,1
32,https://nyk5-4.download.real-debrid.com/d/MSOI63ORXKVMC80/The%20Traitors%20S02E08.mp4,The Traitors S02E08.mp4,2367568873,2025-07-29T09:05:17.000Z,real-debrid.com,https://fcdn.real-debrid.com/0831/images/hosters/realdebrid.png,MSOI63ORXKVMC,https://real-debrid.com/d/CBN7CNDS75F7M35A,video/mp4,1
32,https://nyk5-4.download.real-debrid.com/d/7ZSDVBLLVQSF697/The%20Traitors%20S02E08.mp4,The Traitors S02E08.mp4,2367568873,2025-07-29T08:59:40.000Z,real-debrid.com,https://fcdn.real-debrid.com/0831/images/hosters/realdebrid.png,7ZSDVBLLVQSF6,https://real-debrid.com/d/CBN7CNDS75F7M35A,video/mp4,1
32,https://nyk5-4.download.real-debrid.com/d/XENFD433AEYOA99/The%20Traitors%20S02E08.mp4,The Traitors S02E08.mp4,2367568873,2025-07-29T01:38:35.000Z,real-debrid.com,https://fcdn.real-debrid.com/0831/images/hosters/realdebrid.png,XENFD433AEYOA,https://real-debrid.com/d/CBN7CNDS75F7M35A,video/mp4,1
32,https://nyk5-4.download.real-debrid.com/d/WFCIRBUKP7L5O95/The%20Traitors%20S02E09.mp4,The Traitors S02E09.mp4,2818475684,2025-07-29T01:38:14.000Z,real-debrid.com,https://fcdn.real-debrid.com/0831/images/hosters/realdebrid.png,WFCIRBUKP7L5O,https://real-debrid.com/d/5DBAWKELL2S3U378,video/mp4,1
32,https://nyk5-4.download.real-debrid.com/d/RO45W3DGT2OMY40/Love.Island.US.S05E15.1080p.WEB.h264-EDITH%5Beztv.re%5D.mkv,Love.Island.US.S05E15.1080p.WEB.h264-EDITH[eztv.re].mkv,3342658374,2025-07-29T01:26:27.000Z,real-debrid.com,https://fcdn.real-debrid.com/0831/images/hosters/realdebrid.png,RO45W3DGT2OMY,https://real-debrid.com/d/6LXPPF47NKQ32F41,video/x-matroska,1
